"","word","freq"
"748","geo","5"
"749","id","5"
"750","ii","5"
"751","kidvid","5"
"752","langenbach","5"
"753","neo","5"
"754","pluto","5"
"755","roar","5"
"756","sega","5"
"757","with","5"
"758","安全","5"
"759","白","5"
"760","表明","5"
"761","布什","5"
"762","差","5"
"763","拆封","5"
"764","长","5"
"765","超","5"
"766","超级","5"
"767","出去","5"
"768","初期","5"
"769","除此之外","5"
"770","戳","5"
"771","存在","5"
"772","大神","5"
"773","担子","5"
"774","第二","5"
"775","第一艘","5"
"776","掉","5"
"777","跌","5"
"778","多纳霍","5"
"779","儿子","5"
"780","房屋","5"
"781","费","5"
"782","封面","5"
"783","佛罗里达","5"
"784","父亲","5"
"785","干掉","5"
"786","购入","5"
"787","国","5"
"788","罕见","5"
"789","好多","5"
"790","好像","5"
"791","号","5"
"792","合","5"
"793","合作","5"
"794","火焰","5"
"795","机","5"
"796","嘉","5"
"797","交易","5"
"798","经济","5"
"799","居住","5"
"800","可能","5"
"801","拉","5"
"802","老","5"
"803","两台","5"
"804","聊天室","5"
"805","码","5"
"806","买家","5"
"807","毛","5"
"808","梦幻","5"
"809","麼","5"
"810","难道","5"
"811","年","5"
"812","欧","5"
"813","盘","5"
"814","企业","5"
"815","去年","5"
"816","全世界","5"
"817","却","5"
"818","群","5"
"819","忍","5"
"820","仍","5"
"821","三","5"
"822","三家","5"
"823","上面","5"
"824","少","5"
"825","设计师","5"
"826","生存","5"
"827","时候","5"
"828","世","5"
"829","收藏品","5"
"830","双","5"
"831","所有权","5"
"832","套","5"
"833","条","5"
"834","跳蚤市场","5"
"835","同时","5"
"836","玩","5"
"837","旺盛","5"
"838","未婚妻","5"
"839","问世","5"
"840","希望","5"
"841","线","5"
"842","新兵","5"
"843","需求","5"
"844","选择","5"
"845","一款","5"
"846","一名","5"
"847","一年","5"
"848","一条","5"
"849","衣服","5"
"850","印度","5"
"851","由","5"
"852","原价","5"
"853","原型机","5"
"854","折","5"
"855","折合","5"
"856","之间","5"
"857","知道","5"
"858","致远","5"
"859","重","5"
"860","准备","5"
"861","119","4"
"862","1232万","4"
"863","1358公里","4"
"864","140","4"
"865","199598万美元","4"
"866","1出","4"
"867","20","4"
"868","2015年","4"
"869","21","4"
"870","26台","4"
"871","39995万美元","4"
"872","4450","4"
"873","5款","4"
"874","884英里","4"
"875","barnes","4"
"876","china","4"
"877","clk","4"
"878","com","4"
"879","costa","4"
"880","evan","4"
"881","for","4"
"882","gtr","4"
"883","ipad","4"
"884","lamia","4"
"885","leopardos","4"
"886","mac","4"
"887","model","4"
"888","noble","4"
"889","pinterest","4"
"890","qq","4"
"891","r","4"
"892","slutpop","4"
"893","so","4"
"894","szrrxu","4"
"895","the","4"
"896","to","4"
"897","wp","4"
"898","you","4"
"899","保值","4"
"900","报名","4"
"901","奔驰","4"
"902","蔽","4"
"903","贬值率","4"
"904","伯爵","4"
"905","不敢","4"
"906","不同","4"
"907","部分","4"
"908","查","4"
"909","掺和","4"
"910","车","4"
"911","吃","4"
"912","出镜","4"
"913","橱窗","4"
"914","处理","4"
"915","穿","4"
"916","创造","4"
"917","磁","4"
"918","大师","4"
"919","代工","4"
"920","单","4"
"921","等到","4"
"922","低","4"
"923","低于","4"
"924","递送","4"
"925","店铺","4"
"926","动","4"
"927","动态","4"
"928","而是","4"
"929","发生","4"
"930","方块","4"
"931","费用","4"
"932","分类","4"
"933","付款","4"
"934","副","4"
"935","该车","4"
"936","该行","4"
"937","改变","4"
"938","干","4"
"939","刚刚","4"
"940","岗位","4"
"941","各种","4"
"942","挂","4"
"943","柜","4"
"944","核心","4"
"945","欢迎","4"
"946","环保","4"
"947","换","4"
"948","机构","4"
"949","鸡蛋","4"
"950","及","4"
"951","即便","4"
"952","季度","4"
"953","加","4"
"954","加入","4"
"955","假","4"
"956","简直","4"
"957","酵","4"
"958","界面","4"
"959","经过","4"
"960","惊人","4"
"961","竟","4"
"962","看看","4"
"963","客","4"
"964","客户","4"
"965","肯定","4"
"966","跨境","4"
"967","款型","4"
"968","老外","4"
"969","类似","4"
"970","两个","4"
"971","卢布","4"
"972","绿色","4"
"973","满","4"
"974","梅赛德斯","4"
"975","明星","4"
"976","某","4"
"977","母亲","4"
"978","哪","4"
"979","女婿","4"
"980","欧洲","4"
"981","配送","4"
"982","评论","4"
"983","起价","4"
"984","起拍","4"
"985","签名","4"
"986","前行","4"
"987","请","4"
"988","求","4"
"989","缺","4"
"990","人家","4"
"991","人们","4"
"992","认为","4"
"993","如此","4"
"994","如期","4"
"995","三个","4"
"996","商务","4"
"997","世间","4"
"998","是否","4"
"999","数千美元","4"
"1000","算算","4"
"1001","它们","4"
"1002","台","4"
"1003","通常","4"
"1004","投放","4"
"1005","歪","4"
"1006","完成","4"
"1007","未来","4"
"1008","味","4"
"1009","问","4"
"1010","五个","4"
"1011","物品","4"
"1012","相机","4"
"1013","想法","4"
"1014","效率","4"
"1015","协议","4"
"1016","信用卡","4"
"1017","需要","4"
"1018","一路","4"
"1019","一天","4"
"1020","因此","4"
"1021","英里","4"
"1022","预订","4"
"1023","赠送","4"
"1024","照片","4"
"1025","这种","4"
"1026","证明","4"
"1027","之一","4"
"1028","支持","4"
"1029","直","4"
"1030","值得","4"
"1031","只能","4"
"1032","纸","4"
"1033","指数","4"
"1034","指望","4"
"1035","智慧","4"
"1036","中宏嘉","4"
"1037","中心","4"
"1038","注册","4"
"1039","字","4"
"1040","最后","4"
"1041","最近","4"
"1042","最终","4"
"1043","作为","4"
"1044","做到","4"
"1045","000","3"
"1046","000亿元","3"
"1047","039","3"
"1048","100万美元","3"
"1049","100亿","3"
"1050","130万美元","3"
"1051","13个","3"
"1052","199","3"
"1053","23日","3"
"1054","23万美金","3"
"1055","266","3"
"1056","30000美元","3"
"1057","301","3"
"1058","360","3"
"1059","38分钟","3"
"1060","3年","3"
"1061","6月","3"
"1062","8","3"
"1063","8","3"
"1064","9","3"
"1065","99","3"
"1066","9日","3"
"1067","candy","3"
"1068","ceo","3"
"1069","charge","3"
"1070","conference","3"
"1071","d","3"
"1072","de","3"
"1073","etsy","3"
"1074","flickr","3"
"1075","gdp","3"
"1076","hsgi","3"
"1077","ios","3"
"1078","mini","3"
"1079","nicole","3"
"1080","nike","3"
"1081","now","3"
"1082","of","3"
"1083","on","3"
"1084","pk","3"
"1085","solemate","3"
"1086","us","3"
"1087","wheels","3"
"1088","zhang","3"
"1089","zqo","3"
"1090","zqwtocs","3"
"1091","澳洲","3"
"1092","白菜","3"
"1093","百万美金","3"
"1094","百姓","3"
"1095","搬","3"
"1096","扮演","3"
"1097","保证","3"
"1098","报","3"
"1099","报告","3"
"1100","爆","3"
"1101","北美","3"
"1102","比较","3"
"1103","必须","3"
"1104","便","3"
"1105","薄","3"
"1106","不想","3"
"1107","操","3"
"1108","场","3"
"1109","车轮","3"
"1110","城","3"
"1111","橙色","3"
"1112","冲动","3"
"1113","出现","3"
"1114","传","3"
"1115","此","3"
"1116","次","3"
"1117","挫","3"
"1118","错","3"
"1119","打电话","3"
"1120","打开","3"
"1121","代购","3"
"1122","带来","3"
"1123","当初","3"
"1124","当天","3"
"1125","得奖","3"
"1126","地址","3"
"1127","第一","3"
"1128","第一代","3"
"1129","第一个","3"
"1130","定","3"
"1131","定义","3"
"1132","独","3"
"1133","对话","3"
"1134","对手","3"
"1135","多年","3"
"1136","呃","3"
"1137","儿","3"
"1138","发出","3"
"1139","发疯","3"
"1140","方便","3"
"1141","方法","3"
"1142","放","3"
"1143","绯红","3"
"1144","凤凰","3"
"1145","幅","3"
"1146","负责人","3"
"1147","高端","3"
"1148","各地","3"
"1149","根本","3"
"1150","工程师","3"
"1151","公道","3"
"1152","贡献","3"
"1153","购物者","3"
"1154","古月","3"
"1155","故事","3"
"1156","挂牌","3"
"1157","官","3"
"1158","官方","3"
"1159","国际","3"
"1160","国人","3"
"1161","过来","3"
"1162","海外","3"
"1163","海啸","3"
"1164","嘿","3"
"1165","後","3"
"1166","环球网","3"
"1167","回来","3"
"1168","机制","3"
"1169","几周","3"
"1170","寄","3"
"1171","夹心","3"
"1172","兼","3"
"1173","监测","3"
"1174","交易额","3"
"1175","交易量","3"
"1176","角色","3"
"1177","解决","3"
"1178","今","3"
"1179","进","3"
"1180","禁令","3"
"1181","净利","3"
"1182","镜头","3"
"1183","军区","3"
"1184","卡","3"
"1185","刻","3"
"1186","控","3"
"1187","扣","3"
"1188","来去","3"
"1189","来说","3"
"1190","蓝","3"
"1191","类","3"
"1192","里面","3"
"1193","理由","3"
"1194","链接","3"
"1195","两年","3"
"1196","零售店","3"
"1197","另外","3"
"1198","留","3"
"1199","率","3"
"1200","轮圈","3"
"1201","迈阿密","3"
"1202","麦","3"
"1203","慢","3"
"1204","贸易","3"
"1205","没法","3"
"1206","每个","3"
"1207","梦寐以求","3"
"1208","米","3"
"1209","面试","3"
"1210","面向","3"
"1211","明显","3"
"1212","膜拜","3"
"1213","木","3"
"1214","那么","3"
"1215","男","3"
"1216","男人","3"
"1217","脑子","3"
"1218","呢","3"
"1219","您","3"
"1220","平均","3"
"1221","平米","3"
"1222","前沿","3"
"1223","且","3"
"1224","球","3"
"1225","确实","3"
"1226","惹","3"
"1227","人数","3"
"1228","认证","3"
"1229","日子","3"
"1230","容易","3"
"1231","如","3"
"1232","如何","3"
"1233","软件","3"
"1234","弱","3"
"1235","三胞胎","3"
"1236","三年","3"
"1237","色","3"
"1238","上市","3"
"1239","剩下","3"
"1240","失败","3"
"1241","实际","3"
"1242","实物","3"
"1243","食","3"
"1244","使","3"
"1245","士官","3"
"1246","事实","3"
"1247","事实上","3"
"1248","收费","3"
"1249","手","3"
"1250","首先","3"
"1251","书","3"
"1252","数量","3"
"1253","数字","3"
"1254","甩掉","3"
"1255","双胞胎","3"
"1256","双十一","3"
"1257","水","3"
"1258","算","3"
"1259","随手","3"
"1260","他用","3"
"1261","讨","3"
"1262","特别","3"
"1263","特色","3"
"1264","提升","3"
"1265","同","3"
"1266","同期","3"
"1267","同学","3"
"1268","同意","3"
"1269","偷走","3"
"1270","网络","3"
"1271","為","3"
"1272","文具","3"
"1273","无","3"
"1274","西雅图","3"
"1275","稀有","3"
"1276","系","3"
"1277","细节","3"
"1278","下单","3"
"1279","相","3"
"1280","相当","3"
"1281","详情","3"
"1282","向","3"
"1283","削减","3"
"1284","消费","3"
"1285","小分队","3"
"1286","小伙伴","3"
"1287","信","3"
"1288","选中","3"
"1289","学习","3"
"1290","研究","3"
"1291","爷爷","3"
"1292","页面","3"
"1293","一般","3"
"1294","一对","3"
"1295","一拍即合","3"
"1296","一生","3"
"1297","以后","3"
"1298","以前","3"
"1299","易","3"
"1300","易趣","3"
"1301","意义","3"
"1302","嘤","3"
"1303","营","3"
"1304","优势","3"
"1305","邮费","3"
"1306","邮箱","3"
"1307","油","3"
"1308","有的","3"
"1309","有点","3"
"1310","有趣","3"
"1311","右边","3"
"1312","于是","3"
"1313","原","3"
"1314","原因","3"
"1315","运","3"
"1316","运行","3"
"1317","糟糕","3"
"1318","早期","3"
"1319","增长","3"
"1320","帐号","3"
"1321","帐户","3"
"1322","账号","3"
"1323","这里","3"
"1324","正规","3"
"1325","正好","3"
"1326","正品","3"
"1327","正在","3"
"1328","之前","3"
"1329","知足","3"
"1330","只是","3"
"1331","至","3"
"1332","钟头","3"
"1333","种","3"
"1334","重新","3"
"1335","主意","3"
"1336","专利","3"
"1337","妆","3"
"1338","总和","3"
"1339","做饭","3"
"1340","000亿美金","2"
"1341","09","2"
"1342","11年","2"
"1343","120","2"
"1344","13","2"
"1345","15","2"
"1346","17","2"
"1347","179","2"
"1348","18","2"
"1349","180","2"
"1350","18日","2"
"1351","1999年","2"
"1352","200","2"
"1353","200美金","2"
"1354","2012","2"
"1355","21日","2"
"1356","21岁","2"
"1357","23","2"
"1358","249","2"
"1359","250","2"
"1360","277","2"
"1361","30","2"
"1362","350","2"
"1363","38","2"
"1364","3倍","2"
"1365","400多刀","2"
"1366","50","2"
"1367","55","2"
"1368","56澳元","2"
"1369","6","2"
"1370","60","2"
"1371","65","2"
"1372","6个","2"
"1373","83","2"
"1374","93","2"
"1375","999","2"
"1376","9个","2"
"1377","aliexpress","2"
"1378","android","2"
"1379","annie","2"
"1380","at","2"
"1381","available","2"
"1382","bad","2"
"1383","ball","2"
"1384","bill","2"
"1385","black","2"
"1386","brightside","2"
"1387","calleja","2"
"1388","cd","2"
"1389","cm","2"
"1390","collections","2"
"1391","consumer","2"
"1392","cute","2"
"1393","daniel","2"
"1394","dimitri","2"
"1395","donahoe","2"
"1396","dvd","2"
"1397","fear","2"
"1398","garret","2"
"1399","glowlight","2"
"1400","groupon","2"
"1401","gxi","2"
"1402","hana","2"
"1403","home","2"
"1404","htt","2"
"1405","ibm","2"
"1406","in","2"
"1407","is","2"
"1408","it","2"
"1409","john","2"
"1410","lee","2"
"1411","life","2"
"1412","littlejinnee","2"
"1413","macbook","2"
"1414","mart","2"
"1415","mr","2"
"1416","ms","2"
"1417","musk","2"
"1418","my","2"
"1419","n","2"
"1420","nook","2"
"1421","o","2"
"1422","off","2"
"1423","oj","2"
"1424","only","2"
"1425","phone","2"
"1426","pos","2"
"1427","q","2"
"1428","qaq","2"
"1429","quota","2"
"1430","rd","2"
"1431","rina","2"
"1432","row","2"
"1433","samtien","2"
"1434","santana","2"
"1435","saturday","2"
"1436","scheduled","2"
"1437","simple","2"
"1438","taobao","2"
"1439","thea","2"
"1440","thomas","2"
"1441","tm","2"
"1442","tomsbrickyard","2"
"1443","touch","2"
"1444","ued","2"
"1445","uv","2"
"1446","wal","2"
"1447","www","2"
"1448","xbox","2"
"1449","yan","2"
"1450","zqjhwmm","2"
"1451","zqlshx","2"
"1452","zqosmgd","2"
"1453","zqouqra","2"
"1454","zqouqrw","2"
"1455","zqw","2"
"1456","嗳","2"
"1457","案例","2"
"1458","澳","2"
"1459","巴黎","2"
"1460","罢","2"
"1461","白金","2"
"1462","白面","2"
"1463","败家","2"
"1464","半天","2"
"1465","棒","2"
"1466","宝网","2"
"1467","保护","2"
"1468","报价","2"
"1469","悲剧","2"
"1470","背景","2"
"1471","本来","2"
"1472","本身","2"
"1473","逼","2"
"1474","鼻","2"
"1475","比日","2"
"1476","必要","2"
"1477","便捷","2"
"1478","变革","2"
"1479","变化","2"
"1480","标准","2"
